Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
         116674	     58333	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137d54 x12:0x00137d54
         116678	     58335	00101d78	8082	c.jr	x1	  x1:0x00101e52
         116682	     58337	00101e52	4004	c.lw	x9,0(x8)	  x8:0x00137c6c  x9=0x00137fc4 PA:0x00137c6c load:0x00137fc4
         116686	     58339	00101e54	404c	c.lw	x11,4(x8)	  x8:0x00137c6c x11=0x00137fc0 PA:0x00137c70 load:0x00137fc0
         116688	     58340	00101e56	864a	c.mv	x12,x18	  x0:0x00000000 x18:0x00000004 x12=0x00000004
         116690	     58341	00101e58	8526	c.mv	x10,x9	  x0:0x00000000  x9:0x00137fc4 x10=0x00137fc4
         116692	     58342	00101e5a	94ca	c.add	x9,x18	  x9:0x00137fc4 x18:0x00000004  x9=0x00137fc8
         116696	     58344	00101e5c	3579	c.jal	101cea	  x1=0x00101e5e
         116698	     58345	00101cea	c659	c.beqz	x12,101d78	 x12:0x00000004
         116700	     58346	00101cec	00158693	addi	x13,x11,1	 x11:0x00137fc0 x13=0x00137fc1
         116702	     58347	00101cf0	40d507b3	sub	x15,x10,x13	 x10:0x00137fc4 x13:0x00137fc1 x15=0x00000003
         116704	     58348	00101cf4	fff60713	addi	x14,x12,-1	 x12:0x00000004 x14=0x00000003
         116706	     58349	00101cf8	0037b793	sltiu	x15,x15,3	 x15:0x00000003 x15=0x00000000
         116708	     58350	00101cfc	00973713	sltiu	x14,x14,9	 x14:0x00000003 x14=0x00000001
         116710	     58351	00101d00	0017c793	xori	x15,x15,1	 x15:0x00000000 x15=0x00000001
         116712	     58352	00101d04	00174713	xori	x14,x14,1	 x14:0x00000001 x14=0x00000000
         116714	     58353	00101d08	8ff9	c.and	x15,x14	 x15:0x00000001 x14:0x00000000 x15=0x00000000
         116718	     58355	00101d0a	cfa9	c.beqz	x15,101d64	 x15:0x00000000
         116722	     58357	00101d64	962a	c.add	x12,x10	 x12:0x00000004 x10:0x00137fc4 x12=0x00137fc8
         116724	     58358	00101d66	87aa	c.mv	x15,x10	  x0:0x00000000 x10:0x00137fc4 x15=0x00137fc4
         116728	     58360	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137fc1 x14=0x00000017 PA:0x00137fc0 load:0x00000017
         116730	     58361	00101d6c	0785	c.addi	x15,1	 x15:0x00137fc4 x15=0x00137fc5
         116732	     58362	00101d6e	0685	c.addi	x13,1	 x13:0x00137fc1 x13=0x00137fc2
         116736	     58364	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc5 x14:0x00000017 PA:0x00137fc4 store:0x00000017 load:0x00000017
         116740	     58366	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc5 x12:0x00137fc8
         116746	     58369	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137fc2 x14=0x00000000 PA:0x00137fc1 load:0x00000000
         116748	     58370	00101d6c	0785	c.addi	x15,1	 x15:0x00137fc5 x15=0x00137fc6
         116750	     58371	00101d6e	0685	c.addi	x13,1	 x13:0x00137fc2 x13=0x00137fc3
         116754	     58373	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc6 x14:0x00000000 PA:0x00137fc5 store:0x00000000 load:0x00000000
         116758	     58375	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc6 x12:0x00137fc8
         116764	     58378	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137fc3 x14=0x00000000 PA:0x00137fc2 load:0x00000000
         116766	     58379	00101d6c	0785	c.addi	x15,1	 x15:0x00137fc6 x15=0x00137fc7
         116768	     58380	00101d6e	0685	c.addi	x13,1	 x13:0x00137fc3 x13=0x00137fc4
         116772	     58382	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc7 x14:0x00000000 PA:0x00137fc6 store:0x00000000 load:0x00000000
         116776	     58384	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc7 x12:0x00137fc8
         116782	     58387	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137fc4 x14=0x00000000 PA:0x00137fc3 load:0x00000000
         116784	     58388	00101d6c	0785	c.addi	x15,1	 x15:0x00137fc7 x15=0x00137fc8
         116786	     58389	00101d6e	0685	c.addi	x13,1	 x13:0x00137fc4 x13=0x00137fc5
         116790	     58391	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc8 x14:0x00000000 PA:0x00137fc7 store:0x00000000 load:0x00000000
         116792	     58392	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc8 x12:0x00137fc8
         116796	     58394	00101d78	8082	c.jr	x1	  x1:0x00101e5e
         116798	     58395	00101e5e	0411	c.addi	x8,4	  x8:0x00137c6c  x8=0x00137c70
         116802	     58397	00101e60	fe942e23	sw	x9,-4(x8)	  x8:0x00137c70  x9:0x00137fc8 PA:0x00137c6c store:0x00137fc8 load:0x00000017
         116806	     58399	00101e64	fe8997e3	bne	x19,x8,101e52	 x19:0x00137c78  x8:0x00137c70
         116812	     58402	00101e52	4004	c.lw	x9,0(x8)	  x8:0x00137c70  x9=0x00137fc0 PA:0x00137c70 load:0x00137fc0
         116816	     58404	00101e54	404c	c.lw	x11,4(x8)	  x8:0x00137c70 x11=0x00137fbc PA:0x00137c74 load:0x00137fbc
         116818	     58405	00101e56	864a	c.mv	x12,x18	  x0:0x00000000 x18:0x00000004 x12=0x00000004
         116820	     58406	00101e58	8526	c.mv	x10,x9	  x0:0x00000000  x9:0x00137fc0 x10=0x00137fc0
         116822	     58407	00101e5a	94ca	c.add	x9,x18	  x9:0x00137fc0 x18:0x00000004  x9=0x00137fc4
         116826	     58409	00101e5c	3579	c.jal	101cea	  x1=0x00101e5e
         116828	     58410	00101cea	c659	c.beqz	x12,101d78	 x12:0x00000004
         116830	     58411	00101cec	00158693	addi	x13,x11,1	 x11:0x00137fbc x13=0x00137fbd
         116832	     58412	00101cf0	40d507b3	sub	x15,x10,x13	 x10:0x00137fc0 x13:0x00137fbd x15=0x00000003
         116834	     58413	00101cf4	fff60713	addi	x14,x12,-1	 x12:0x00000004 x14=0x00000003
         116836	     58414	00101cf8	0037b793	sltiu	x15,x15,3	 x15:0x00000003 x15=0x00000000
         116838	     58415	00101cfc	00973713	sltiu	x14,x14,9	 x14:0x00000003 x14=0x00000001
         116840	     58416	00101d00	0017c793	xori	x15,x15,1	 x15:0x00000000 x15=0x00000001
         116842	     58417	00101d04	00174713	xori	x14,x14,1	 x14:0x00000001 x14=0x00000000
         116844	     58418	00101d08	8ff9	c.and	x15,x14	 x15:0x00000001 x14:0x00000000 x15=0x00000000
         116848	     58420	00101d0a	cfa9	c.beqz	x15,101d64	 x15:0x00000000
         116852	     58422	00101d64	962a	c.add	x12,x10	 x12:0x00000004 x10:0x00137fc0 x12=0x00137fc4
         116854	     58423	00101d66	87aa	c.mv	x15,x10	  x0:0x00000000 x10:0x00137fc0 x15=0x00137fc0
         116858	     58425	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137fbd x14=0x0000000c PA:0x00137fbc load:0x0000000c
         116860	     58426	00101d6c	0785	c.addi	x15,1	 x15:0x00137fc0 x15=0x00137fc1
         116862	     58427	00101d6e	0685	c.addi	x13,1	 x13:0x00137fbd x13=0x00137fbe
         116866	     58429	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc1 x14:0x0000000c PA:0x00137fc0 store:0x0000000c load:0x0000000c
         116870	     58431	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc1 x12:0x00137fc4
         116876	     58434	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137fbe x14=0x00000000 PA:0x00137fbd load:0x00000000
         116878	     58435	00101d6c	0785	c.addi	x15,1	 x15:0x00137fc1 x15=0x00137fc2
         116880	     58436	00101d6e	0685	c.addi	x13,1	 x13:0x00137fbe x13=0x00137fbf
         116884	     58438	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc2 x14:0x00000000 PA:0x00137fc1 store:0x00000000 load:0x00000000
         116888	     58440	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc2 x12:0x00137fc4
         116894	     58443	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137fbf x14=0x00000000 PA:0x00137fbe load:0x00000000
         116896	     58444	00101d6c	0785	c.addi	x15,1	 x15:0x00137fc2 x15=0x00137fc3
         116898	     58445	00101d6e	0685	c.addi	x13,1	 x13:0x00137fbf x13=0x00137fc0
         116902	     58447	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc3 x14:0x00000000 PA:0x00137fc2 store:0x00000000 load:0x00000000
         116906	     58449	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc3 x12:0x00137fc4
         116912	     58452	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137fc0 x14=0x00000000 PA:0x00137fbf load:0x00000000
         116914	     58453	00101d6c	0785	c.addi	x15,1	 x15:0x00137fc3 x15=0x00137fc4
         116916	     58454	00101d6e	0685	c.addi	x13,1	 x13:0x00137fc0 x13=0x00137fc1
         116920	     58456	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc4 x14:0x00000000 PA:0x00137fc3 store:0x00000000 load:0x00000000
         116922	     58457	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc4 x12:0x00137fc4
         116926	     58459	00101d78	8082	c.jr	x1	  x1:0x00101e5e
         116928	     58460	00101e5e	0411	c.addi	x8,4	  x8:0x00137c70  x8=0x00137c74
         116932	     58462	00101e60	fe942e23	sw	x9,-4(x8)	  x8:0x00137c74  x9:0x00137fc4 PA:0x00137c70 store:0x00137fc4 load:0x0000000c
         116936	     58464	00101e64	fe8997e3	bne	x19,x8,101e52	 x19:0x00137c78  x8:0x00137c74
         116942	     58467	00101e52	4004	c.lw	x9,0(x8)	  x8:0x00137c74  x9=0x00137fbc PA:0x00137c74 load:0x00137fbc
         116946	     58469	00101e54	404c	c.lw	x11,4(x8)	  x8:0x00137c74 x11=0x00137d50 PA:0x00137c78 load:0x00137d50
         116948	     58470	00101e56	864a	c.mv	x12,x18	  x0:0x00000000 x18:0x00000004 x12=0x00000004
         116950	     58471	00101e58	8526	c.mv	x10,x9	  x0:0x00000000  x9:0x00137fbc x10=0x00137fbc
         116952	     58472	00101e5a	94ca	c.add	x9,x18	  x9:0x00137fbc x18:0x00000004  x9=0x00137fc0
         116956	     58474	00101e5c	3579	c.jal	101cea	  x1=0x00101e5e
         116958	     58475	00101cea	c659	c.beqz	x12,101d78	 x12:0x00000004
         116960	     58476	00101cec	00158693	addi	x13,x11,1	 x11:0x00137d50 x13=0x00137d51
         116962	     58477	00101cf0	40d507b3	sub	x15,x10,x13	 x10:0x00137fbc x13:0x00137d51 x15=0x0000026b
         116964	     58478	00101cf4	fff60713	addi	x14,x12,-1	 x12:0x00000004 x14=0x00000003
         116966	     58479	00101cf8	0037b793	sltiu	x15,x15,3	 x15:0x0000026b x15=0x00000000
         116968	     58480	00101cfc	00973713	sltiu	x14,x14,9	 x14:0x00000003 x14=0x00000001
         116970	     58481	00101d00	0017c793	xori	x15,x15,1	 x15:0x00000000 x15=0x00000001
         116972	     58482	00101d04	00174713	xori	x14,x14,1	 x14:0x00000001 x14=0x00000000
         116974	     58483	00101d08	8ff9	c.and	x15,x14	 x15:0x00000001 x14:0x00000000 x15=0x00000000
         116978	     58485	00101d0a	cfa9	c.beqz	x15,101d64	 x15:0x00000000
         116982	     58487	00101d64	962a	c.add	x12,x10	 x12:0x00000004 x10:0x00137fbc x12=0x00137fc0
         116984	     58488	00101d66	87aa	c.mv	x15,x10	  x0:0x00000000 x10:0x00137fbc x15=0x00137fbc
         116988	     58490	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137d51 x14=0x000000fc PA:0x00137d50 load:0x000000fc
         116990	     58491	00101d6c	0785	c.addi	x15,1	 x15:0x00137fbc x15=0x00137fbd
         116992	     58492	00101d6e	0685	c.addi	x13,1	 x13:0x00137d51 x13=0x00137d52
         116996	     58494	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fbd x14:0x000000fc PA:0x00137fbc store:0x000000fc load:0x000000fc
         117000	     58496	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fbd x12:0x00137fc0
         117006	     58499	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137d52 x14=0x000000ff PA:0x00137d51 load:0x000000ff
         117008	     58500	00101d6c	0785	c.addi	x15,1	 x15:0x00137fbd x15=0x00137fbe
         117010	     58501	00101d6e	0685	c.addi	x13,1	 x13:0x00137d52 x13=0x00137d53
         117014	     58503	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fbe x14:0x000000ff PA:0x00137fbd store:0x000000ff load:0x000000ff
         117018	     58505	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fbe x12:0x00137fc0
         117024	     58508	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137d53 x14=0x000000ff PA:0x00137d52 load:0x000000ff
         117026	     58509	00101d6c	0785	c.addi	x15,1	 x15:0x00137fbe x15=0x00137fbf
         117028	     58510	00101d6e	0685	c.addi	x13,1	 x13:0x00137d53 x13=0x00137d54
         117032	     58512	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fbf x14:0x000000ff PA:0x00137fbe store:0x000000ff load:0x000000ff
         117036	     58514	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fbf x12:0x00137fc0
         117042	     58517	00101d68	fff6c703	lbu	x14,-1(x13)	 x13:0x00137d54 x14=0x000000ff PA:0x00137d53 load:0x000000ff
         117044	     58518	00101d6c	0785	c.addi	x15,1	 x15:0x00137fbf x15=0x00137fc0
         117046	     58519	00101d6e	0685	c.addi	x13,1	 x13:0x00137d54 x13=0x00137d55
         117050	     58521	00101d70	fee78fa3	sb	x14,-1(x15)	 x15:0x00137fc0 x14:0x000000ff PA:0x00137fbf store:0x000000ff load:0x000000ff
         117052	     58522	00101d74	fec79ae3	bne	x15,x12,101d68	 x15:0x00137fc0 x12:0x00137fc0
         117056	     58524	00101d78	8082	c.jr	x1	  x1:0x00101e5e
         117058	     58525	00101e5e	0411	c.addi	x8,4	  x8:0x00137c74  x8=0x00137c78
         117062	     58527	00101e60	fe942e23	sw	x9,-4(x8)	  x8:0x00137c78  x9:0x00137fc0 PA:0x00137c74 store:0x00137fc0 load:0xfffffffc
         117064	     58528	00101e64	fe8997e3	bne	x19,x8,101e52	 x19:0x00137c78  x8:0x00137c78
         117066	     58529	00101e68	412a0a33	sub	x20,x20,x18	 x20:0x00000004 x18:0x00000004 x20=0x00000000
         117070	     58531	00101e6c	000a0863	beq	x20,x0,101e7c	 x20:0x00000000  x0:0x00000000
         117076	     58534	00101e7c	22c12083	lw	x1,556(x2)	  x2:0x00137c60  x1=0x00102178 PA:0x00137e8c load:0x00102178
         117080	     58536	00101e80	22812403	lw	x8,552(x2)	  x2:0x00137c60  x8=0x00137ea0 PA:0x00137e88 load:0x00137ea0
         117084	     58538	00101e84	22412483	lw	x9,548(x2)	  x2:0x00137c60  x9=0x00137e98 PA:0x00137e84 load:0x00137e98
         117088	     58540	00101e88	22012903	lw	x18,544(x2)	  x2:0x00137c60 x18=0x00000003 PA:0x00137e80 load:0x00000003
         117092	     58542	00101e8c	21c12983	lw	x19,540(x2)	  x2:0x00137c60 x19=0x00000001 PA:0x00137e7c load:0x00000001
         117096	     58544	00101e90	21812a03	lw	x20,536(x2)	  x2:0x00137c60 x20=0x0010010c PA:0x00137e78 load:0x0010010c
         117100	     58546	00101e94	21412a83	lw	x21,532(x2)	  x2:0x00137c60 x21=0x00000001 PA:0x00137e74 load:0x00000001
         117104	     58548	00101e98	21012b03	lw	x22,528(x2)	  x2:0x00137c60 x22=0x0000001f PA:0x00137e70 load:0x0000001f
         117108	     58550	00101e9c	20c12b83	lw	x23,524(x2)	  x2:0x00137c60 x23=0x00000020 PA:0x00137e6c load:0x00000020
         117112	     58552	00101ea0	20812c03	lw	x24,520(x2)	  x2:0x00137c60 x24=0x00137fcc PA:0x00137e68 load:0x00137fcc
         117116	     58554	00101ea4	20412c83	lw	x25,516(x2)	  x2:0x00137c60 x25=0x00000000 PA:0x00137e64 load:0x00000000
         117120	     58556	00101ea8	20012d03	lw	x26,512(x2)	  x2:0x00137c60 x26=0x00000004 PA:0x00137e60 load:0x00000004
         117124	     58558	00101eac	1fc12d83	lw	x27,508(x2)	  x2:0x00137c60 x27=0x00137fc8 PA:0x00137e5c load:0x00137fc8
         117126	     58559	00101eb0	23010113	addi	x2,x2,560	  x2:0x00137c60  x2=0x00137e90
         117130	     58561	00101eb4	8082	c.jr	x1	  x1:0x00102178
         117134	     58563	00102178	193a8763	beq	x21,x19,102306	 x21:0x00000001 x19:0x00000001
         117140	     58566	00102306	47a2	c.lwsp	x15,8(x2)	  x2:0x00137e90 x15=0x00000009 PA:0x00137e98 load:0x00000009
         117144	     58568	00102308	4732	c.lwsp	x14,12(x2)	  x2:0x00137e90 x14=0x00000000 PA:0x00137e9c load:0x00000000
         117146	     58569	0010230a	4a81	c.li	x21,0	 x21=0x00000000
         117148	     58570	0010230c	01f7d693	srli	x13,x15,0x1f	 x15:0x00000009 x13=0x00000000
         117150	     58571	00102310	0706	c.slli	x14,0x1	 x14:0x00000000 x14=0x00000000
         117152	     58572	00102312	8f55	c.or	x14,x13	 x14:0x00000000 x13:0x00000000 x14=0x00000000
         117154	     58573	00102314	0786	c.slli	x15,0x1	 x15:0x00000009 x15=0x00000012
         117158	     58575	00102316	c63a	c.swsp	x14,12(x2)	  x2:0x00137e90 x14:0x00000000 PA:0x00137e9c store:0x00000000 load:0x00000000
         117160	     58576	00102318	0017e793	ori	x15,x15,1	 x15:0x00000012 x15=0x00000013
         117164	     58578	0010231c	b549	c.j	10219e	
         117168	     58580	0010219e	c43e	c.swsp	x15,8(x2)	  x2:0x00137e90 x15:0x00000013 PA:0x00137e98 store:0x00000013 load:0x00000000
         117170	     58581	001021a0	9dea	c.add	x27,x26	 x27:0x00137fc8 x26:0x00000004 x27=0x00137fcc
         117172	     58582	001021a2	fb8de4e3	bltu	x27,x24,10214a	 x27:0x00137fcc x24:0x00137fcc
         117174	     58583	001021a6	8822	c.mv	x16,x8	  x0:0x00000000  x8:0x00137ea0 x16=0x00137ea0
         117176	     58584	001021a8	8756	c.mv	x14,x21	  x0:0x00000000 x21:0x00000000 x14=0x00000000
         117178	     58585	001021aa	4781	c.li	x15,0	 x15=0x00000000
         117180	     58586	001021ac	86a6	c.mv	x13,x9	  x0:0x00000000  x9:0x00137e98 x13=0x00137e98
         117182	     58587	001021ae	8652	c.mv	x12,x20	  x0:0x00000000 x20:0x0010010c x12=0x0010010c
         117184	     58588	001021b0	85ea	c.mv	x11,x26	  x0:0x00000000 x26:0x00000004 x11=0x00000004
         117186	     58589	001021b2	856e	c.mv	x10,x27	  x0:0x00000000 x27:0x00137fcc x10=0x00137fcc
         117190	     58591	001021b4	3309	c.jal	101eb6	  x1=0x001021b6
         117194	     58593	00101eb6	dc010113	addi	x2,x2,-576	  x2:0x00137e90  x2=0x00137c50
         117198	     58595	00101eba	23312623	sw	x19,556(x2)	  x2:0x00137c50 x19:0x00000001 PA:0x00137e7c store:0x00000001 load:0x00000000
         117202	     58597	00101ebe	21812c23	sw	x24,536(x2)	  x2:0x00137c50 x24:0x00137fcc PA:0x00137e68 store:0x00137fcc load:0x00000000
         117206	     58599	00101ec2	21a12823	sw	x26,528(x2)	  x2:0x00137c50 x26:0x00000004 PA:0x00137e60 store:0x00000004 load:0x00000000
         117208	     58600	00101ec6	076be9b7	lui	x19,0x76be	 x19=0x076be000
         117210	     58601	00101eca	8d3e	c.mv	x26,x15	  x0:0x00000000 x15:0x00000000 x26=0x00000000
         117214	     58603	00101ecc	0006ac03	lw	x24,0(x13)	 x13:0x00137e98 x24=0x00000013 PA:0x00137e98 load:0x00000013
         117216	     58604	00101ed0	40b007b3	sub	x15,x0,x11	  x0:0x00000000 x11:0x00000004 x15=0xfffffffc
         117220	     58606	00101ed4	c43e	c.swsp	x15,8(x2)	  x2:0x00137c50 x15:0xfffffffc PA:0x00137c58 store:0xfffffffc load:0x00000013
         117222	     58607	00101ed6	62998793	addi	x15,x19,1577	 x19:0x076be000 x15=0x076be629
         117226	     58609	00101eda	22812c23	sw	x8,568(x2)	  x2:0x00137c50  x8:0x00137ea0 PA:0x00137e88 store:0x00137ea0 load:0x00000013
         117230	     58611	00101ede	22912a23	sw	x9,564(x2)	  x2:0x00137c50  x9:0x00137e98 PA:0x00137e84 store:0x00137e98 load:0x00000013
         117234	     58613	00101ee2	23212823	sw	x18,560(x2)	  x2:0x00137c50 x18:0x00000003 PA:0x00137e80 store:0x00000003 load:0x00000013
         117238	     58615	00101ee6	23412423	sw	x20,552(x2)	  x2:0x00137c50 x20:0x0010010c PA:0x00137e78 store:0x0010010c load:0x00000013
         117242	     58617	00101eea	23512223	sw	x21,548(x2)	  x2:0x00137c50 x21:0x00000000 PA:0x00137e74 store:0x00000000 load:0x00000013
         117246	     58619	00101eee	23612023	sw	x22,544(x2)	  x2:0x00137c50 x22:0x0000001f PA:0x00137e70 store:0x0000001f load:0x00000013
         117250	     58621	00101ef2	21912a23	sw	x25,532(x2)	  x2:0x00137c50 x25:0x00000000 PA:0x00137e64 store:0x00000000 load:0x00000013
         117254	     58623	00101ef6	21b12623	sw	x27,524(x2)	  x2:0x00137c50 x27:0x00137fcc PA:0x00137e5c store:0x00137fcc load:0x00000013
         117256	     58624	00101efa	00106a37	lui	x20,0x106	 x20=0x00106000
         117260	     58626	00101efe	22112e23	sw	x1,572(x2)	  x2:0x00137c50  x1:0x001021b6 PA:0x00137e8c store:0x001021b6 load:0x00000013
         117264	     58628	00101f02	21712e23	sw	x23,540(x2)	  x2:0x00137c50 x23:0x00000020 PA:0x00137e6c store:0x00000020 load:0x00000013
         117268	     58630	00101f06	c62e	c.swsp	x11,12(x2)	  x2:0x00137c50 x11:0x00000004 PA:0x00137c5c store:0x00000004 load:0x00000013
         117272	     58632	00101f08	c242	c.swsp	x16,4(x2)	  x2:0x00137c50 x16:0x00137ea0 PA:0x00137c54 store:0x00137ea0 load:0x00000013
         117276	     58634	00101f0a	ce2a	c.swsp	x10,28(x2)	  x2:0x00137c50 x10:0x00137fcc PA:0x00137c6c store:0x00137fcc load:0x00000013
         117278	     58635	00101f0c	4905	c.li	x18,1	 x18=0x00000001
         117282	     58637	00101f0e	c03e	c.swsp	x15,0(x2)	  x2:0x00137c50 x15:0x076be629 PA:0x00137c50 store:0x076be629 load:0x00000013
         117286	     58639	00101f10	0046ac83	lw	x25,4(x13)	 x13:0x00137e98 x25=0x00000000 PA:0x00137e9c load:0x00000000
         117288	     58640	00101f14	8b2a	c.mv	x22,x10	  x0:0x00000000 x10:0x00137fcc x22=0x00137fcc
         117290	     58641	00101f16	8ab2	c.mv	x21,x12	  x0:0x00000000 x12:0x0010010c x21=0x0010010c
         117292	     58642	00101f18	84ba	c.mv	x9,x14	  x0:0x00000000 x14:0x00000000  x9=0x00000000
         117294	     58643	00101f1a	8daa	c.mv	x27,x10	  x0:0x00000000 x10:0x00137fcc x27=0x00137fcc
         117296	     58644	00101f1c	4405	c.li	x8,1	  x8=0x00000001
         117298	     58645	00101f1e	428a0a13	addi	x20,x20,1064	 x20:0x00106000 x20=0x00106428
         117300	     58646	00101f22	0b2c0063	beq	x24,x18,101fc2	 x24:0x00000013 x18:0x00000001
         117304	     58648	00101f26	4792	c.lwsp	x15,4(x2)	  x2:0x00137c50 x15=0x00137ea0 PA:0x00137c54 load:0x00137ea0
         117306	     58649	00101f28	00249613	slli	x12,x9,0x2	  x9:0x00000000 x12=0x00000000
         117308	     58650	00101f2c	85da	c.mv	x11,x22	  x0:0x00000000 x22:0x00137fcc x11=0x00137fcc
         117310	     58651	00101f2e	00c789b3	add	x19,x15,x12	 x15:0x00137ea0 x12:0x00000000 x19=0x00137ea0
         117314	     58653	00101f32	0009a703	lw	x14,0(x19)	 x19:0x00137ea0 x14=0x00000004 PA:0x00137ea0 load:0x00000004
         117316	     58654	00101f36	40ed8bb3	sub	x23,x27,x14	 x27:0x00137fcc x14:0x00000004 x23=0x00137fc8
         117318	     58655	00101f3a	855e	c.mv	x10,x23	  x0:0x00000000 x23:0x00137fc8 x10=0x00137fc8
         117322	     58657	00101f3c	9a82	c.jalr	x21	 x21:0x0010010c  x1=0x00101f3e
         117326	     58659	0010010c	4108	c.lw	x10,0(x10)	 x10:0x00137fc8 x10=0x0000002b PA:0x00137fc8 load:0x0000002b
         117330	     58661	0010010e	419c	c.lw	x15,0(x11)	 x11:0x00137fcc x15=0x00000005 PA:0x00137fcc load:0x00000005
         117332	     58662	00100110	8d1d	c.sub	x10,x15	 x10:0x0000002b x15:0x00000005 x10=0x00000026
         117336	     58664	00100112	8082	c.jr	x1	  x1:0x00101f3e
         117340	     58666	00101f3e	08a05463	bge	x0,x10,101fc6	  x0:0x00000000 x10:0x00000026
         117342	     58667	00101f42	020d1663	bne	x26,x0,101f6e	 x26:0x00000000  x0:0x00000000
         117346	     58669	00101f46	02995463	bge	x18,x9,101f6e	 x18:0x00000001  x9:0x00000000
         117352	     58672	00101f6e	4702	c.lwsp	x14,0(x2)	  x2:0x00137c50 x14=0x076be629 PA:0x00137c50 load:0x076be629
         117354	     58673	00101f70	41890633	sub	x12,x18,x24	 x18:0x00000001 x24:0x00000013 x12=0xffffffee
         117356	     58674	00101f74	fffc0793	addi	x15,x24,-1	 x24:0x00000013 x15=0x00000012
         117358	     58675	00101f78	8ff1	c.and	x15,x12	 x15:0x00000012 x12:0xffffffee x15=0x00000002
         117364	     58678	00101f7a	02e787b3	mul	x15,x15,x14	 x15:0x00000002 x14:0x076be629 x15=0x0ed7cc52
         117366	     58679	00101f7e	00241613	slli	x12,x8,0x2	  x8:0x00000001 x12=0x00000004
         117368	     58680	00101f82	0878	c.addi4spn	x14,x2,28	 x14=0x00137c6c
         117370	     58681	00101f84	963a	c.add	x12,x14	 x12:0x00000004 x14:0x00137c6c x12=0x00137c70
         117374	     58683	00101f86	01762023	sw	x23,0(x12)	 x12:0x00137c70 x23:0x00137fc8 PA:0x00137c70 store:0x00137fc8 load:0x076be629
         117376	     58684	00101f8a	83ed	c.srli	x15,0x1b	 x15:0x0ed7cc52 x15=0x00000001
         117378	     58685	00101f8c	97d2	c.add	x15,x20	 x15:0x00000001 x20:0x00106428 x15=0x00106429
         117382	     58687	00101f8e	0007c783	lbu	x15,0(x15)	 x15:0x00106429 x15=0x00000001 PA:0x00106429 load:0x00000001
         117386	     58689	00101f92	ebad	c.bnez	x15,102004	 x15:0x00000001
         117390	     58691	00102004	477d	c.li	x14,31	 x14=0x0000001f
         117392	     58692	00102006	94be	c.add	x9,x15	  x9:0x00000000 x15:0x00000001  x9=0x00000001
         117394	     58693	00102008	02f74363	blt	x14,x15,10202e	 x14:0x0000001f x15:0x00000001
         117396	     58694	0010200c	02000613	addi	x12,x0,32	  x0:0x00000000 x12=0x00000020
         117398	     58695	00102010	8e1d	c.sub	x12,x15	 x12:0x00000020 x15:0x00000001 x12=0x0000001f
         117400	     58696	00102012	00cc9633	sll	x12,x25,x12	 x25:0x00000000 x12:0x0000001f x12=0x00000000
         117402	     58697	00102016	00fc58b3	srl	x17,x24,x15	 x24:0x00000013 x15:0x00000001 x17=0x00000009
         117404	     58698	0010201a	01166c33	or	x24,x12,x17	 x12:0x00000000 x17:0x00000009 x24=0x00000009
         117406	     58699	0010201e	00fcdcb3	srl	x25,x25,x15	 x25:0x00000000 x15:0x00000001 x25=0x00000000
